episode,ending_environment_step,episode_return,episode_length
672,120950,-154.0,155
673,121060,-109.0,110
674,121130,-69.0,70
675,121230,-103.0,104
676,121370,-142.0,143
677,121470,-91.0,92
678,121540,-74.0,75
679,121640,-97.0,98
680,121760,-118.0,119
681,121850,-88.0,89
682,121940,-89.0,90
683,122030,-87.0,88
684,122120,-92.0,93
685,122240,-116.0,117
686,122400,-166.0,167
687,122540,-134.0,135
688,122620,-85.0,86
689,122710,-85.0,86
690,122810,-104.0,105
691,122900,-82.0,83
692,122990,-96.0,97
693,123070,-79.0,80
694,123160,-81.0,82
695,123240,-85.0,86
696,123330,-84.0,85
697,123420,-87.0,88
698,123490,-77.0,78
699,123570,-77.0,78
700,123660,-84.0,85
701,123790,-131.0,132
702,123870,-76.0,77
703,123940,-75.0,76
704,124030,-86.0,87
705,124110,-80.0,81
706,124260,-152.0,153
707,124360,-92.0,93
708,124430,-76.0,77
709,124560,-130.0,131
710,124680,-112.0,113
711,124790,-109.0,110
712,124860,-74.0,75
713,124960,-96.0,97
714,125050,-86.0,87
715,125130,-82.0,83
716,125210,-83.0,84
717,125270,-61.0,62
718,125430,-159.0,160
719,125520,-81.0,82
720,125590,-77.0,78
721,125670,-77.0,78
722,125760,-90.0,91
723,125850,-90.0,91
724,125940,-89.0,90
725,126030,-83.0,84
726,126110,-79.0,80
727,126190,-84.0,85
728,126280,-84.0,85
729,126360,-76.0,77
730,126430,-75.0,76
731,126530,-93.0,94
732,126600,-75.0,76
733,126690,-91.0,92
734,126780,-81.0,82
735,126850,-74.0,75
736,126940,-85.0,86
737,127030,-90.0,91
738,127120,-89.0,90
739,127210,-92.0,93
740,127270,-62.0,63
741,127350,-75.0,76
742,127410,-61.0,62
743,127500,-83.0,84
744,127690,-192.0,193
745,127790,-98.0,99
746,127870,-83.0,84
747,127960,-90.0,91
748,128040,-76.0,77
749,128110,-73.0,74
750,128190,-77.0,78
751,128280,-90.0,91
752,128380,-92.0,93
753,128470,-94.0,95
754,128570,-100.0,101
755,128670,-99.0,100
756,128750,-82.0,83
757,128840,-82.0,83
758,128940,-104.0,105
759,129020,-79.0,80
760,129100,-76.0,77
761,129190,-92.0,93
762,129270,-76.0,77
763,129350,-81.0,82
764,129410,-62.0,63
765,129510,-92.0,93
766,129590,-79.0,80
767,129650,-62.0,63
768,129710,-61.0,62
769,129800,-82.0,83
770,129900,-107.0,108
771,129990,-85.0,86
772,130080,-89.0,90
773,130150,-71.0,72
774,130240,-89.0,90
775,130330,-86.0,87
776,130410,-85.0,86
777,130500,-81.0,82
778,130570,-77.0,78
779,130670,-99.0,100
780,130770,-92.0,93
781,130890,-124.0,125
782,130980,-89.0,90
783,131080,-93.0,94
784,131230,-153.0,154
785,131310,-74.0,75
786,131400,-93.0,94
787,131460,-62.0,63
788,131540,-76.0,77
789,131600,-62.0,63
790,131700,-96.0,97
791,131780,-81.0,82
792,131840,-61.0,62
793,131920,-80.0,81
794,132020,-92.0,93
795,132140,-117.0,118
796,132250,-115.0,116
797,132340,-90.0,91
798,132430,-91.0,92
799,132520,-85.0,86
800,132600,-79.0,80
801,132740,-137.0,138
802,132840,-102.0,103
803,132940,-95.0,96
804,133020,-86.0,87
805,133120,-92.0,93
806,133210,-88.0,89
807,133300,-91.0,92
808,133380,-81.0,82
809,133490,-111.0,112
810,133570,-80.0,81
811,133670,-97.0,98
812,133780,-107.0,108
813,133950,-169.0,170
814,134070,-123.0,124
815,134150,-78.0,79
816,134250,-97.0,98
817,134340,-90.0,91
818,134420,-75.0,76
819,134520,-98.0,99
820,134600,-87.0,88
821,134740,-132.0,133
822,134830,-88.0,89
823,134910,-82.0,83
824,134990,-75.0,76
825,135070,-86.0,87
826,135160,-89.0,90
827,135250,-82.0,83
828,135340,-91.0,92
829,135420,-79.0,80
830,135500,-80.0,81
831,135590,-94.0,95
832,135700,-105.0,106
833,135810,-109.0,110
834,135910,-98.0,99
835,135990,-80.0,81
836,136070,-82.0,83
837,136200,-124.0,125
838,136280,-86.0,87
839,136370,-83.0,84
