episode,ending_environment_step,episode_return,episode_length
621,119900,-76.0,77
622,120020,-120.0,121
623,120150,-136.0,137
624,120240,-85.0,86
625,120320,-78.0,79
626,120390,-69.0,70
627,120480,-87.0,88
628,120550,-71.0,72
629,120630,-79.0,80
630,120710,-78.0,79
631,120780,-73.0,74
632,120850,-70.0,71
633,120920,-62.0,63
634,121020,-106.0,107
635,121100,-77.0,78
636,121220,-120.0,121
637,121340,-115.0,116
638,121440,-99.0,100
639,121530,-94.0,95
640,121620,-90.0,91
641,121730,-104.0,105
642,121820,-93.0,94
643,121920,-96.0,97
644,122000,-83.0,84
645,122100,-93.0,94
646,122320,-216.0,217
647,122430,-114.0,115
648,122550,-118.0,119
649,122620,-72.0,73
650,122710,-90.0,91
651,122800,-90.0,91
652,122910,-100.0,101
653,123010,-100.0,101
654,123090,-86.0,87
655,123220,-121.0,122
656,123290,-71.0,72
657,123500,-214.0,215
658,123590,-84.0,85
659,123700,-111.0,112
660,123810,-114.0,115
661,123880,-69.0,70
662,124170,-287.0,288
663,124250,-78.0,79
664,124410,-153.0,154
665,124640,-230.0,231
666,124730,-97.0,98
667,124970,-234.0,235
668,125130,-158.0,159
669,125230,-99.0,100
670,125310,-79.0,80
671,125390,-85.0,86
672,125560,-162.0,163
673,125650,-88.0,89
674,125780,-131.0,132
675,125870,-93.0,94
676,126020,-144.0,145
677,126150,-128.0,129
678,126240,-94.0,95
679,126330,-91.0,92
680,126420,-82.0,83
681,126490,-76.0,77
682,126640,-143.0,144
683,126730,-95.0,96
684,126800,-70.0,71
685,126930,-127.0,128
686,127020,-87.0,88
687,127100,-78.0,79
688,127190,-89.0,90
689,127280,-93.0,94
690,127350,-70.0,71
691,127450,-94.0,95
692,127520,-71.0,72
693,127620,-96.0,97
694,127690,-73.0,74
695,127770,-73.0,74
696,127850,-82.0,83
697,127930,-75.0,76
698,128020,-97.0,98
699,128100,-74.0,75
700,128190,-91.0,92
701,128280,-86.0,87
702,128370,-92.0,93
703,128450,-82.0,83
704,128530,-73.0,74
705,128600,-75.0,76
706,128680,-74.0,75
707,128770,-88.0,89
708,128850,-85.0,86
709,129070,-211.0,212
710,129150,-79.0,80
711,129240,-90.0,91
712,129310,-74.0,75
713,129430,-114.0,115
714,129510,-78.0,79
715,129640,-135.0,136
716,129750,-110.0,111
717,129890,-134.0,135
718,129960,-74.0,75
719,130070,-110.0,111
720,130150,-76.0,77
721,130250,-95.0,96
722,130320,-74.0,75
723,130400,-75.0,76
724,130490,-87.0,88
725,130560,-70.0,71
726,130630,-77.0,78
727,130710,-75.0,76
728,130800,-84.0,85
729,130880,-86.0,87
730,130990,-108.0,109
731,131070,-80.0,81
732,131170,-94.0,95
733,131290,-119.0,120
734,131360,-72.0,73
735,131460,-101.0,102
736,131590,-127.0,128
737,131680,-84.0,85
738,131770,-90.0,91
739,131910,-139.0,140
740,132020,-109.0,110
741,132110,-96.0,97
742,132250,-133.0,134
743,132340,-91.0,92
744,132440,-97.0,98
745,132530,-93.0,94
746,132610,-82.0,83
747,132710,-90.0,91
748,132790,-83.0,84
749,132860,-70.0,71
750,132960,-97.0,98
751,133050,-91.0,92
752,133120,-72.0,73
753,133270,-141.0,142
754,133360,-92.0,93
755,133440,-80.0,81
756,133510,-71.0,72
757,133600,-83.0,84
758,133690,-96.0,97
759,133770,-78.0,79
760,133880,-106.0,107
761,133960,-81.0,82
762,134040,-82.0,83
763,134130,-82.0,83
764,134210,-82.0,83
765,134360,-145.0,146
766,134470,-118.0,119
767,134550,-79.0,80
768,134670,-119.0,120
769,134750,-71.0,72
770,134830,-87.0,88
771,134960,-120.0,121
772,135040,-85.0,86
773,135110,-71.0,72
774,135190,-73.0,74
775,135300,-109.0,110
776,135400,-103.0,104
777,135480,-76.0,77
778,135600,-120.0,121
779,135770,-174.0,175
780,135860,-87.0,88
781,136010,-145.0,146
782,136110,-98.0,99
783,136240,-133.0,134
784,136340,-93.0,94
785,136420,-83.0,84
786,136500,-83.0,84
787,136620,-120.0,121
788,136700,-71.0,72
789,136800,-105.0,106
790,136870,-63.0,64
791,136960,-88.0,89
792,137140,-180.0,181
793,137250,-108.0,109
794,137590,-344.0,345
795,137730,-139.0,140
796,137980,-245.0,246
797,138130,-157.0,158
798,138210,-75.0,76
799,138300,-90.0,91
800,138400,-99.0,100
801,138490,-83.0,84
802,138570,-86.0,87
803,138790,-219.0,220
804,138860,-64.0,65
805,139150,-291.0,292
806,139230,-83.0,84
807,139310,-75.0,76
808,139390,-81.0,82
809,139460,-63.0,64
810,139760,-299.0,300
811,139820,-63.0,64
812,139880,-63.0,64
813,139960,-71.0,72
814,140060,-106.0,107
815,140240,-172.0,173
816,140310,-75.0,76
817,140410,-101.0,102
818,140490,-75.0,76
819,140560,-71.0,72
820,140650,-87.0,88
821,140720,-71.0,72
822,140830,-106.0,107
823,140960,-126.0,127
824,141040,-85.0,86
825,141130,-84.0,85
826,141320,-194.0,195
827,141400,-75.0,76
828,141480,-82.0,83
829,141630,-148.0,149
830,141710,-76.0,77
831,141780,-75.0,76
832,141850,-70.0,71
833,141940,-90.0,91
834,142030,-88.0,89
835,142120,-83.0,84
836,142190,-76.0,77
837,142300,-107.0,108
838,142380,-75.0,76
839,142520,-142.0,143
840,142670,-143.0,144
841,142760,-93.0,94
842,142840,-82.0,83
843,142930,-82.0,83
844,143010,-84.0,85
845,143120,-112.0,113
846,143220,-94.0,95
847,143340,-122.0,123
848,143500,-160.0,161
849,143660,-160.0,161
850,143790,-122.0,123
851,143910,-127.0,128
852,144010,-90.0,91
853,144090,-88.0,89
854,144200,-105.0,106
855,144300,-100.0,101
856,144400,-96.0,97
857,144470,-75.0,76
858,144560,-85.0,86
859,144650,-85.0,86
860,144880,-228.0,229
861,145010,-129.0,130
862,145100,-93.0,94
863,145260,-159.0,160
864,145340,-79.0,80
865,145410,-71.0,72
866,145500,-92.0,93
867,145620,-116.0,117
868,145720,-93.0,94
869,145790,-73.0,74
870,145880,-90.0,91
871,145960,-74.0,75
872,146030,-71.0,72
873,146120,-94.0,95
874,146210,-85.0,86
875,146280,-73.0,74
876,146370,-85.0,86
877,146440,-70.0,71
878,146580,-139.0,140
879,146650,-74.0,75
880,146730,-74.0,75
881,146820,-89.0,90
882,146890,-72.0,73
883,146990,-98.0,99
884,147080,-92.0,93
885,147190,-102.0,103
886,147290,-101.0,102
887,147400,-106.0,107
888,147540,-141.0,142
889,147670,-128.0,129
890,147740,-69.0,70
891,147920,-184.0,185
892,148020,-99.0,100
893,148110,-87.0,88
894,148370,-254.0,255
895,148480,-118.0,119
896,148580,-97.0,98
897,148650,-70.0,71
898,148830,-177.0,178
899,148970,-139.0,140
900,149290,-313.0,314
901,149440,-149.0,150
902,149540,-101.0,102
903,149690,-151.0,152
904,149750,-63.0,64
905,150000,-247.0,248
906,150160,-156.0,157
907,150230,-75.0,76
908,150430,-190.0,191
909,150590,-167.0,168
910,150710,-119.0,120
911,150970,-257.0,258
912,151110,-139.0,140
913,151190,-77.0,78
914,151260,-74.0,75
915,151360,-94.0,95
916,151450,-92.0,93
917,151550,-101.0,102
918,151660,-104.0,105
919,151720,-64.0,65
920,151810,-89.0,90
921,151940,-127.0,128
922,152020,-77.0,78
923,152110,-89.0,90
924,152190,-75.0,76
925,152270,-84.0,85
926,152360,-91.0,92
927,152440,-79.0,80
928,152530,-84.0,85
929,152620,-87.0,88
930,152720,-105.0,106
931,152810,-83.0,84
932,152880,-69.0,70
933,152990,-110.0,111
934,153060,-70.0,71
935,153150,-93.0,94
936,153240,-86.0,87
937,153320,-82.0,83
938,153520,-193.0,194
939,153650,-137.0,138
940,153730,-76.0,77
941,153810,-74.0,75
942,153870,-62.0,63
943,153990,-124.0,125
944,154090,-93.0,94
945,154220,-134.0,135
946,154300,-77.0,78
947,154390,-88.0,89
948,154480,-89.0,90
949,154610,-124.0,125
950,154680,-74.0,75
951,154760,-74.0,75
952,154840,-87.0,88
953,154920,-80.0,81
954,155020,-92.0,93
955,155090,-75.0,76
956,155180,-82.0,83
957,155290,-108.0,109
958,155360,-74.0,75
959,155490,-131.0,132
960,155600,-105.0,106
961,155760,-163.0,164
962,155900,-140.0,141
963,155990,-87.0,88
964,156120,-132.0,133
965,156230,-108.0,109
966,156330,-98.0,99
967,156410,-72.0,73
968,156520,-115.0,116
969,156650,-127.0,128
970,156740,-87.0,88
971,156890,-153.0,154
972,156990,-93.0,94
973,157100,-112.0,113
974,157210,-109.0,110
975,157310,-96.0,97
976,157380,-75.0,76
977,157460,-75.0,76
978,157540,-79.0,80
979,157630,-92.0,93
980,157720,-92.0,93
981,157930,-210.0,211
982,158030,-91.0,92
983,158100,-74.0,75
984,158190,-92.0,93
985,158270,-74.0,75
986,158340,-70.0,71
987,158420,-76.0,77
988,158510,-94.0,95
989,158610,-92.0,93
990,158690,-83.0,84
991,158770,-83.0,84
992,159010,-231.0,232
993,159080,-74.0,75
994,159160,-78.0,79
995,159230,-71.0,72
996,159300,-70.0,71
