environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
34000,3394,0.0028822922613471746,-0.006463721394538879,0.025861330330371857,0.0028822922613471746,0.0028822922613471746,0.09253627860546113,0.09253627860546113,0.12586133033037186,0.12586133033037186,0,0.27003100369803146,7229,15,16,10,296,69,26,59,100,17,13,73,9,270,99,30,15,18,772,47,45,59,359,17,153,525,26,20,31,63,900,44,145,278,29,1138,18,143,159,21,56,25,42,12,60,205,94,37,463,92,16
35000,3494,-5.685426003765315e-05,-0.02630939520895481,0.050009943544864655,-5.685426003765315e-05,5.685426003765315e-05,0.0726906047910452,0.0726906047910452,0.15000994354486466,0.15000994354486466,0,0.26217093400649116,7270,15,16,10,296,69,26,59,100,17,13,73,9,270,99,30,15,18,774,47,58,60,360,17,153,525,26,20,31,86,900,44,145,278,29,1138,18,143,159,21,56,26,42,12,60,205,94,37,463,92,16
36000,3594,0.001164069166406989,0.006247854791581631,0.05346929281949997,0.001164069166406989,0.001164069166406989,0.10524785479158164,0.10524785479158164,0.15346929281949998,0.15346929281949998,1,0.26235141484624286,7482,15,16,10,296,69,26,60,100,17,13,75,10,270,100,30,15,18,856,47,58,61,360,18,153,525,27,20,32,97,900,44,145,278,132,1139,19,143,160,21,58,26,43,12,60,205,94,37,463,92,16
37000,3694,-0.0017415545880794525,-0.04635205119848251,0.09553609788417816,-0.0017415545880794525,0.0017415545880794525,0.05264794880151749,0.05264794880151749,0.19553609788417817,0.19553609788417817,0,0.2678614261727718,7817,15,16,10,296,69,27,60,101,18,15,75,12,270,103,30,15,20,858,47,58,63,360,18,153,526,29,20,32,148,902,45,147,280,343,1139,21,143,160,22,60,26,46,12,94,206,95,38,463,94,17
38000,3794,-0.004935747943818569,-0.05129484832286835,0.058824650943279266,-0.004935747943818569,0.004935747943818569,0.04770515167713166,0.04770515167713166,0.15882465094327927,0.15882465094327927,0,0.261243320388994,7871,15,18,10,296,69,27,60,101,18,15,75,12,270,103,30,15,20,858,48,64,63,360,19,153,526,29,20,32,148,902,45,147,280,343,1140,21,143,160,22,60,26,46,12,137,206,95,38,463,94,17
39000,3894,-0.0006578387692570686,0.055998753756284714,0.07545256614685059,-0.0006578387692570686,0.0006578387692570686,0.15499875375628472,0.15499875375628472,0.1754525661468506,0.1754525661468506,1,0.26290395699760377,8119,15,19,11,297,69,27,63,102,18,16,76,12,271,103,101,17,20,859,48,102,63,360,19,153,526,29,20,32,263,902,47,147,281,343,1140,21,145,161,22,60,27,47,12,138,206,95,38,463,94,18
40000,3994,-0.0037931250408291817,0.05704432725906372,0.05045824497938156,-0.0037931250408291817,0.0037931250408291817,0.15604432725906373,0.15604432725906373,0.15045824497938157,0.15045824497938157,1,0.27404764938208687,8604,16,19,11,298,69,27,64,104,20,16,76,12,271,106,101,17,20,860,49,251,63,363,19,155,527,30,22,33,560,902,47,147,283,344,1143,22,146,161,22,60,27,51,12,139,207,96,38,464,95,19
41000,4094,-2.761163341347128e-05,0.04794243723154068,0.08428729325532913,-2.761163341347128e-05,2.761163341347128e-05,0.14694243723154068,0.14694243723154068,0.18428729325532914,0.18428729325532914,1,0.28502476023318496,9094,16,20,12,299,72,27,65,104,20,20,78,13,272,106,102,19,20,861,49,374,64,365,22,156,529,32,22,35,760,903,162,147,285,345,1145,23,147,161,22,60,29,52,14,140,208,98,40,464,95,20
42000,4194,0.0002317214384675026,0.043722379952669144,0.03822978585958481,0.0002317214384675026,0.0002317214384675026,0.14272237995266915,0.14272237995266915,0.13822978585958481,0.13822978585958481,1,0.2956473455285807,9584,135,22,14,299,75,29,65,104,21,22,80,14,272,107,142,20,20,863,50,569,64,365,22,157,529,33,24,35,762,903,163,148,286,347,1237,24,147,161,22,60,30,52,16,141,209,99,41,464,97,22
43000,4294,-0.0120752714574337,0.007520081475377083,0.07116369903087616,-0.0120752714574337,0.0120752714574337,0.10652008147537709,0.10652008147537709,0.17116369903087617,0.17116369903087617,1,0.30583983722554586,10071,227,22,15,299,77,29,65,105,22,22,82,17,272,107,142,22,20,863,50,738,64,365,22,160,530,36,26,35,763,903,163,149,287,348,1256,25,147,162,22,61,31,53,16,316,210,100,42,464,97,22
44000,4394,-0.009919130243360996,0.03860807791352272,0.025973690673708916,-0.009919130243360996,0.009919130243360996,0.13760807791352272,0.13760807791352272,0.12597369067370892,0.12597369067370892,1,0.3154354390265778,10551,230,22,17,300,80,29,66,106,24,22,85,20,273,107,364,22,23,863,51,738,64,366,23,161,530,37,26,36,764,903,163,151,288,349,1257,25,147,165,24,63,33,54,17,519,211,100,44,467,98,24
45000,4494,-0.0005418385262601078,-0.007849816232919693,0.02356795221567154,-0.0005418385262601078,0.0005418385262601078,0.09115018376708031,0.09115018376708031,0.12356795221567154,0.12356795221567154,0,0.31544330439358065,10791,230,22,17,300,80,29,66,131,24,22,86,20,274,107,423,118,23,901,51,738,65,366,23,161,531,37,27,36,764,909,164,151,289,350,1257,25,148,165,24,63,34,55,17,519,214,100,44,469,98,24
46000,4594,-0.0030120217707008123,0.01363109890371561,0.005933183245360851,-0.0030120217707008123,0.0030120217707008123,0.11263109890371562,0.11263109890371562,0.10593318324536086,0.10593318324536086,1,0.3235505682635592,11245,230,22,18,301,80,30,66,261,24,22,86,23,274,108,423,231,24,943,53,739,68,366,23,162,531,37,29,36,765,1039,164,153,290,350,1257,28,149,166,25,65,35,55,17,521,214,100,46,471,100,25
47000,4694,-0.000887027068529278,0.009981827810406685,0.06933414936065674,-0.000887027068529278,0.000887027068529278,0.10898182781040669,0.10898182781040669,0.16933414936065674,0.16933414936065674,1,0.3292983001951523,11643,230,23,18,301,81,33,66,366,24,25,88,23,274,109,424,485,25,943,53,740,69,366,23,165,532,37,30,36,765,1039,165,154,290,352,1258,28,150,166,26,66,36,55,17,524,216,102,47,472,101,25
48000,4794,-0.0034324617590755224,-0.010175305418670177,0.007962442934513092,-0.0034324617590755224,0.0034324617590755224,0.08882469458132983,0.08882469458132983,0.1079624429345131,0.1079624429345131,0,0.33760624216246343,12115,230,25,21,303,82,33,66,700,24,26,89,23,274,110,425,487,27,944,54,741,69,368,24,165,532,38,32,38,861,1039,166,157,291,353,1258,29,151,166,27,67,36,55,17,525,216,103,47,473,101,27
49000,4894,-0.012447010725736618,-0.025696126744151115,-0.00128166563808918,-0.012447010725736618,0.012447010725736618,0.07330387325584889,0.07330387325584889,0.09871833436191083,0.09871833436191083,0,0.3358050269887138,12318,230,25,21,303,82,33,66,700,25,27,89,23,276,259,425,488,27,944,55,741,69,369,24,165,533,39,32,39,861,1041,166,157,291,353,1260,29,189,166,28,67,37,55,17,525,216,103,47,473,101,27
50000,4994,-0.003121154848486185,-0.025932665914297104,0.029538840055465698,-0.003121154848486185,0.003121154848486185,0.0730673340857029,0.0730673340857029,0.1295388400554657,0.1295388400554657,0,0.32886833572529633,12374,230,25,21,304,82,33,66,700,25,27,89,23,276,259,425,489,28,944,55,741,69,369,24,165,533,39,32,39,861,1041,166,158,293,353,1261,30,229,166,28,68,37,55,17,532,216,103,47,473,101,27
