panel,algorithm,x,mean,se
greedy_risky_fraction,double_dqn,29000,0.6666666666666666,0.33333333333333337
risky_error,double_dqn,30000,0.08194169114281734,0.020167072758757672
greedy_risky_fraction,double_dqn,30000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,31000,0.03508824287851652,0.014394521109828943
greedy_risky_fraction,double_dqn,31000,0.0,0.0
risky_error,double_dqn,32000,0.04418226012587548,0.008694208864041835
greedy_risky_fraction,double_dqn,32000,0.0,0.0
risky_error,double_dqn,33000,0.06533528359234334,0.018858659687510406
greedy_risky_fraction,double_dqn,33000,0.0,0.0
risky_error,double_dqn,34000,0.06315974106639624,0.024532252345707255
greedy_risky_fraction,double_dqn,34000,0.0,0.0
risky_error,double_dqn,35000,0.06046899461746216,0.024376629495710782
greedy_risky_fraction,double_dqn,35000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,36000,0.06062341224650542,0.013479516218853247
greedy_risky_fraction,double_dqn,36000,0.0,0.0
risky_error,double_dqn,37000,0.04317323544621468,0.017032276585699394
greedy_risky_fraction,double_dqn,37000,0.0,0.0
risky_error,double_dqn,38000,0.043986224174499516,0.014145575741657696
greedy_risky_fraction,double_dqn,38000,0.0,0.0
risky_error,double_dqn,39000,0.07679096150770784,0.017769012363887587
greedy_risky_fraction,double_dqn,39000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,40000,0.07565199544280768,0.01577577169653183
greedy_risky_fraction,double_dqn,40000,0.0,0.0
risky_error,double_dqn,41000,0.07913265896588564,0.012872338850002772
greedy_risky_fraction,double_dqn,41000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,42000,0.07914367992679279,0.0065178135138192796
greedy_risky_fraction,double_dqn,42000,0.0,0.0
risky_error,double_dqn,43000,0.07084642404317856,0.03753910571850136
greedy_risky_fraction,double_dqn,43000,0.3333333333333333,0.33333333333333337
